id;name;rel
486;Darastra;ra-gada_rel
487;Valley of Scars;ra-gada_rel
488;Chiselshriek;ra-gada_rel
489;Ghast's Pass;ra-gada_rel
490;Twiceborn Star;ra-gada_rel
491;Skyreach;ra-gada_rel
492;Loth'Na;ra-gada_rel
493;Dragonstar;ra-gada_rel
494;Heldorn;ra-gada_rel
495;Silaseli;ra-gada_rel
496;Azra's Crossing;ra-gada_rel
497;Kerbol;ra-gada_rel
498;Heldorn Mount;ra-gada_rel
499;Skyreach Catacombs;ra-gada_rel
500;Kardala;ra-gada_rel
501;Bangkorai North Pass;ra-gada_rel
502;Bangkorai Garrison;ra-gada_rel
503;Northglen;ra-gada_rel
504;Blighted Coast;ra-gada_rel
505;Blighted Highlands;ra-gada_rel
506;Viridian Woods;ra-gada_rel
507;Blackheart;ra-gada_rel
508;Strastnoc Landing;ra-gada_rel
509;Thorstad;ra-gada_rel
510;Evermore Straits;ra-gada_rel
511;Satakalaam;ra-gada_rel
512;Pothago;ra-gada_rel
513;Kozanset;ra-gada_rel
514;Na-Totambu's City;ra-gada_rel
515;Hallin's Stand;ra-gada_rel
516;Verkarth;ra-gada_rel
517;Volenfell;ra-gada_rel
518;Lainlyn;ra-gada_rel
519;Motalion;ra-gada_rel
520;Tigonus;ra-gada_rel
521;Cybiades;ra-gada_rel
522;Myrkwasa;ra-gada_rel
523;Sentinel;ra-gada_rel
524;Chastown;ra-gada_rel
525;Na-Totambu Landing;ra-gada_rel
526;Abibon-Gora;ra-gada_rel
527;Kelps Yat;ra-gada_rel
528;Nohotoghra;ra-gada_rel
529;Oldroren (M);ra-gada_rel
530;Hegathe;ra-gada_rel
531;HoonDing;ra-gada_rel
532;Sunkeep;ra-gada_rel
533;Bingketh (M);ra-gada_rel
534;Shady Grove;ra-gada_rel
535;Rachlane;ra-gada_rel
536;Gilane;ra-gada_rel
537;Laine;ra-gada_rel
538;Dragonrock (M);ra-gada_rel
539;Conorrol (M);ra-gada_rel
540;Princegate Pass;ra-gada_rel
541;Shutteredtomb;ra-gada_rel
542;Rhilmir (M);ra-gada_rel
543;Skilgin (M);ra-gada_rel
544;Hubalajad's Reflection;ra-gada_rel
545;No Shira Citadel;ra-gada_rel
546;Allavod (M);ra-gada_rel
547;Abah's Landing;ra-gada_rel
548;Deepwell (M);ra-gada_rel
549;Hewsport (M);ra-gada_rel
550;Ihras (M);ra-gada_rel
551;Cersorn (M);ra-gada_rel
552;Bergama;ra-gada_rel
553;Dak'fron;ra-gada_rel
554;Riverview;ra-gada_rel
555;Taneth;ra-gada_rel
556;Dustfront (M);ra-gada_rel
557;Karrnver Falls;ra-gada_rel
558;Olmer (M);ra-gada_rel
559;Roseguard;ra-gada_rel
560;Valon (M);ra-gada_rel
561;Chaseguard;ra-gada_rel
562;Denolorn (M);ra-gada_rel
563;Rihad;ra-gada_rel
564;Santaki;ra-gada_rel
565;Abasa;ra-gada_rel
566;Dragontail;ra-gada_rel
567;Qharroa;ra-gada_rel
568;Ohran Keep (M);ra-gada_rel
569;Kamver;ra-gada_rel
570;Moonview (M);ra-gada_rel
571;Gongath (M);ra-gada_rel
572;Arlimahera (M);ra-gada_rel
573;Hogon (M);ra-gada_rel
574;Rihath (M);ra-gada_rel
575;Strangkin (M);ra-gada_rel
576;Brenaswatch (M);ra-gada_rel
577;Webhelm (M);ra-gada_rel
578;Lonedale (M);ra-gada_rel
579;Ongkaleth (M);ra-gada_rel
580;Billemir (M);ra-gada_rel
581;Halene (M);ra-gada_rel
582;Cortenhad;ra-gada_rel
583;Ehimhid (M);ra-gada_rel
584;Fort Smokefork (M);ra-gada_rel
585;Lumreva (M);ra-gada_rel
586;Dusty Pass;ra-gada_rel
587;Eastern Pass;ra-gada_rel
588;Skangar (M);ra-gada_rel
589;Lightunhold (M);ra-gada_rel
590;Vehehod Vurn (M);ra-gada_rel
591;Tildrilith (M);ra-gada_rel
592;Skahler (M);ra-gada_rel
593;Stonemoor;ra-gada_rel
594;Helkati;ra-gada_rel
595;Skegdith (M);ra-gada_rel
596;Skorid (M);ra-gada_rel
597;Amrennin (M);ra-gada_rel
598;Nokelos;ra-gada_rel
599;Sunstar (M);ra-gada_rel
600;Illesid (M);ra-gada_rel
601;Helgar (M);ra-gada_rel
602;Strahrones (M);ra-gada_rel
603;Northpost (M);ra-gada_rel
604;Fomnillon (M);ra-gada_rel
605;Strigdive (M);ra-gada_rel
606;Ralamhos (M);ra-gada_rel
607;Fort Allhawk (M);ra-gada_rel
608;Corten Mont;ra-gada_rel
609;Helland;ra-gada_rel
610;Fenroln (M);ra-gada_rel
611;Zodren (M);ra-gada_rel
612;Zangin (M);ra-gada_rel
613;Ronasis (M);ra-gada_rel
614;Vel M'kai;ra-gada_rel
615;North Hall;ra-gada_rel
616;Arbol (M);ra-gada_rel
617;Odomirn (M);ra-gada_rel
618;Riverpoint;ra-gada_rel
619;Hogdith (M);ra-gada_rel
620;Bepghei (M);ra-gada_rel
621;Ash'abhas;ra-gada_rel
622;Telesubi;ra-gada_rel
623;Tarkasus;ra-gada_rel
624;Vulnim Gate;ra-gada_rel
625;Nilata;ra-gada_rel
626;Klathzgar;ra-gada_rel
627;Bangkorai South Pass;ra-gada_rel
628;Lakewatch;ra-gada_rel
629;Vulkenu Town;ra-gada_rel
630;Cliff Keep;ra-gada_rel
631;Skaven;ra-gada_rel
632;FangLair Spire;ra-gada_rel
633;Na-Totambu Catacombs;ra-gada_rel
634;Bleakview Keep (M);ra-gada_rel
635;Earthtear;ra-gada_rel
636;Buried Sands;ra-gada_rel
637;Ogondar;ra-gada_rel
638;Haddocksmarket;ra-gada_rel
639;Molavar;ra-gada_rel
640;Belkarth;ra-gada_rel
641;Elinhir;ra-gada_rel
642;Hakkvild;ra-gada_rel
643;Nimbel;ra-gada_rel
644;Adamant;ra-gada_rel
645;Ankara;ra-gada_rel
646;Spellscar;ra-gada_rel
647;Zalgaz;ra-gada_rel
648;Gahlovi (M);ra-gada_rel
649;Scorpion Ravines;ra-gada_rel
650;Tehla (M);ra-gada_rel
651;Lanista;ra-gada_rel
652;Rkhardahrk;ra-gada_rel
653;Twilight Temple;ra-gada_rel
654;Hel-Ra Citadel;ra-gada_rel
655;Damar;ra-gada_rel
656;Cilla-Karak;ra-gada_rel
657;Fearfrost;ra-gada_rel
658;Rahni'Za;ra-gada_rel
659;Tear;ra-gada_rel
660;Pale Pass;ra-gada_rel
661;Wildeye;ra-gada_rel
662;Gnoll Mountain;ra-gada_rel
663;Frostcrag Spire;ra-gada_rel
664;Fort Dragonclaw;ra-gada_rel
665;Cloud Ruler Temple;ra-gada_rel
666;Rielle;ra-gada_rel
667;Boreal Stone;ra-gada_rel
668;Alessia's Rest;ra-gada_rel
669;Jagged Hills;ra-gada_rel
670;Lipsand Tarn;ra-gada_rel
671;Sancre Tor;ra-gada_rel
672;Ninendava;ra-gada_rel
673;Applewatch;ra-gada_rel
674;Underpall;ra-gada_rel
675;Bruma;ra-gada_rel
676;Plundered Gates;ra-gada_rel
677;Toadstool Hollow;ra-gada_rel
678;Bleaker's Outpost;ra-gada_rel
679;Anga;ra-gada_rel
680;Ice-Heart;ra-gada_rel
681;Bleaker's Way;ra-gada_rel
682;Endre;ra-gada_rel
683;Piukanda;ra-gada_rel
684;Fort Coldcorn;ra-gada_rel
685;Sheltered Leaves;ra-gada_rel
